"","county","precinct","white_reg","black_reg","other_reg","test"
"298","CABARRUS","01-02",2133,140,129,0
"299","CABARRUS","01-04",3222,924,483,0
"300","CABARRUS","01-06",2272,532,374,0
"301","CABARRUS","01-07",2080,243,166,1
"302","CABARRUS","01-08",2661,734,371,0
"303","CABARRUS","01-09",944,44,40,0
"304","CABARRUS","01-10",2265,362,266,0
"305","CABARRUS","02-01",2178,470,224,0
"306","CABARRUS","02-02",3253,748,444,0
"307","CABARRUS","02-03",4470,873,470,0
"308","CABARRUS","02-05",3192,496,315,0
"309","CABARRUS","02-06",2289,1064,409,0
"310","CABARRUS","02-07",2613,194,185,0
"311","CABARRUS","02-08",4516,1117,764,0
"312","CABARRUS","02-09",3905,1376,962,0
"313","CABARRUS","03-00",3925,508,338,0
"314","CABARRUS","04-01",1812,931,225,0
"315","CABARRUS","04-02",1479,991,219,0
"316","CABARRUS","04-03",1776,855,149,0
"317","CABARRUS","04-04",940,537,89,0
"318","CABARRUS","04-05",1195,399,130,0
"319","CABARRUS","04-06",1333,685,166,0
"320","CABARRUS","04-07",1465,144,104,0
"321","CABARRUS","04-08",1301,213,120,0
"322","CABARRUS","04-09",2254,473,182,0
"323","CABARRUS","04-10",2792,589,229,0
"324","CABARRUS","05-00",2456,162,116,0
"325","CABARRUS","06-00",1932,20,61,0
"326","CABARRUS","07-00",1060,9,33,0
"327","CABARRUS","08-00",3684,139,101,0
"328","CABARRUS","09-00",2370,56,86,0
"329","CABARRUS","10-00",4353,342,276,0
"330","CABARRUS","11-01",3260,1313,515,0
"331","CABARRUS","11-02",2718,198,132,0
"332","CABARRUS","12-01",451,143,51,0
"333","CABARRUS","12-02",952,876,229,0
"334","CABARRUS","12-03",1563,362,169,0
"335","CABARRUS","12-04",1970,664,206,0
"336","CABARRUS","12-05",1889,110,84,0
"337","CABARRUS","12-06",1017,417,106,0
"338","CABARRUS","12-07",215,1195,113,0
"339","CABARRUS","12-08",1019,367,160,0
"340","CABARRUS","12-09",1832,386,160,0
"341","CABARRUS","12-10",1063,45,51,0
"342","CABARRUS","12-11",1245,372,182,0
"343","CABARRUS","12-12",1559,370,152,0
"344","CALDWELL","PR01",3127,391,108,0
"345","CALDWELL","PR02",1534,70,38,0
"346","CALDWELL","PR07",1864,26,23,0
"347","CALDWELL","PR08",1096,54,19,0
"348","CALDWELL","PR13",2935,7,57,0
"349","CALDWELL","PR14",3047,91,107,0
"350","CALDWELL","PR16",1217,415,83,0
"351","CALDWELL","PR17",1663,60,57,0
"352","CALDWELL","PR18",3832,85,102,0
"353","CALDWELL","PR21",2932,34,68,0
"354","CALDWELL","PR22",3031,59,102,0
"355","CALDWELL","PR24",1855,21,55,0
"356","CALDWELL","PR25",1850,15,45,0
"357","CALDWELL","PR29",2490,326,152,0
"358","CALDWELL","PR30",1922,782,175,0
"359","CALDWELL","PR31",1347,317,59,0
"360","CALDWELL","PR32",2600,40,48,0
"361","CALDWELL","PR33",5725,74,194,0
"362","CALDWELL","PR34",4293,51,148,0
"363","CALDWELL","PR35",2490,14,65,0
"364","CAMDEN","",2,NA,NA,0
"365","CAMDEN","CH",2307,526,119,0
"366","CAMDEN","SH",1734,178,67,0
"367","CAMDEN","SM",2249,400,103,0
"368","CARTERET","",2,3,NA,0
"369","CARTERET","ABCH",1537,6,81,0
"370","CARTERET","ATSL",658,NA,13,0
"371","CARTERET","BCRK",1940,67,85,0
"372","CARTERET","BFT1",1167,281,90,1
"373","CARTERET","BFT2",3086,228,130,0
"374","CARTERET","BOGU",2487,119,127,0
"375","CARTERET","CCCP",2874,25,162,0
"376","CARTERET","CISL",191,NA,4,0
"377","CARTERET","DASW",631,NA,16,0
"378","CARTERET","EMIS",3401,12,166,0
"379","CARTERET","HAIS",1016,1,16,0
"380","CARTERET","IBSP",386,2,13,0
"381","CARTERET","MASM",641,3,21,0
"382","CARTERET","MCRK",516,3,24,0
"383","CARTERET","MERR",445,40,13,0
"384","CARTERET","MHD1",2086,301,137,0
"385","CARTERET","MHD2",2436,320,145,0
"386","CARTERET","MHD3",3079,150,121,0
"387","CARTERET","MHD4",2549,14,98,0
"388","CARTERET","NPT1",3287,252,185,0
"389","CARTERET","NPT2",2734,139,129,0
"390","CARTERET","NRIV",285,366,20,0
"391","CARTERET","OTBE",1879,3,63,0
"392","CARTERET","PELE",1186,8,61,0
"393","CARTERET","PKNL",1280,6,36,0
"394","CARTERET","STEL",1326,60,68,0
"395","CARTERET","WIHA",1615,128,76,0
"396","CARTERET","WILD",3278,237,148,0
"397","CASWELL","",6,13,NA,0
"398","CASWELL","ANDE",604,178,49,0
"399","CASWELL","LEAS",383,258,21,0
"400","CASWELL","LOCU",921,1026,71,0
"401","CASWELL","MILT",965,1041,69,0
"402","CASWELL","PELH",2358,663,82,1
"403","CASWELL","PH",1261,475,66,0
"404","CASWELL","PROVI",634,216,16,0
"405","CASWELL","STON",1558,511,117,0
"406","CASWELL","YANC",1124,1036,116,0
"407","CATAWBA","01",3144,64,98,0
"408","CATAWBA","02",2067,35,69,0
"409","CATAWBA","03",2111,173,133,0
"410","CATAWBA","04",556,175,72,0
"411","CATAWBA","05",2692,391,123,0
"412","CATAWBA","06",2035,110,110,0
"413","CATAWBA","07",2245,485,260,0
"414","CATAWBA","08",2271,88,154,0
"415","CATAWBA","09",2190,111,96,0
"416","CATAWBA","10",330,263,43,0
"417","CATAWBA","11",964,127,101,0
"418","CATAWBA","12",602,962,135,0
"419","CATAWBA","13",1043,448,137,0
"420","CATAWBA","14",1378,35,49,0
"421","CATAWBA","15",80,766,59,0
"422","CATAWBA","16",1979,365,176,0
"423","CATAWBA","17",1344,247,172,0
"424","CATAWBA","19",856,188,92,0
"425","CATAWBA","20",2822,325,134,0
"426","CATAWBA","21",1633,59,50,0
"427","CATAWBA","22",2935,249,260,0
"428","CATAWBA","23",3647,210,216,0
"429","CATAWBA","24",3643,191,240,0
"430","CATAWBA","25",1669,328,211,0
"431","CATAWBA","26",1674,87,72,0
"432","CATAWBA","27",3366,156,250,0
"433","CATAWBA","28",2615,268,356,0
"434","CATAWBA","29",2310,83,142,0
"435","CATAWBA","30",3141,414,373,0
"436","CATAWBA","31",3948,202,143,0
"437","CATAWBA","32",2320,365,283,0
"438","CATAWBA","33",5549,214,492,0
"439","CATAWBA","34",4312,227,276,0
"440","CATAWBA","35",1942,296,276,0
"441","CATAWBA","36",2049,123,100,0
"442","CATAWBA","37",1956,318,173,0
"443","CATAWBA","38",2673,113,175,0
"444","CATAWBA","39",2094,34,114,0
"445","CATAWBA","40",1234,217,119,0
"446","CATAWBA","41",3070,50,131,0
"447","CHATHAM","",10,6,NA,0
"448","CHATHAM","15",1780,239,169,1
"449","CHATHAM","18",1668,516,127,0
"450","CHATHAM","20",1391,363,155,0
"451","CHATHAM","21",1381,28,103,0
"452","CHATHAM","24",678,12,40,0
"453","CHATHAM","3",1525,153,101,0
"454","CHATHAM","30",1347,250,95,0
"455","CHATHAM","42",1480,95,120,0
"456","CHATHAM","45",785,141,55,0
"457","CHATHAM","6",723,33,28,0
"458","CHATHAM","75",3245,222,371,0
"459","CHATHAM","78",4214,102,318,0
"460","CHATHAM","85",1717,677,308,0
"461","CHATHAM","9",1208,182,87,0
"462","CHATHAM","ESC114",2278,1310,555,0
"463","CHATHAM","MCH110",5512,383,653,1
"464","CHATHAM","NWM117",4610,450,649,0
"465","CHATHAM","PIT113",4955,1290,627,0
"466","CHEROKEE","",1,NA,NA,0
"467","CHEROKEE","ANNW",1864,15,53,0
"468","CHEROKEE","ANSW",1821,32,49,0
"469","CHEROKEE","BELL",1283,3,25,0
"470","CHEROKEE","BRAS",886,1,17,0
"471","CHEROKEE","CSON",939,5,30,0
"472","CHEROKEE","GCRK",457,NA,22,0
"473","CHEROKEE","HANG",850,NA,11,0
"474","CHEROKEE","HIWA",2231,6,33,0
"475","CHEROKEE","HOTH",1491,5,35,0
"476","CHEROKEE","MARB",1536,16,34,0
"477","CHEROKEE","MURN",2123,125,81,0
"478","CHEROKEE","MURS",2365,23,96,0
"479","CHEROKEE","PCHT",2299,13,66,0
"480","CHEROKEE","RGER",1773,10,30,0
"481","CHEROKEE","TOPT",476,NA,7,0
"482","CHEROKEE","UNKA",620,1,8,0
"483","CHOWAN","1",954,1066,63,0
"484","CHOWAN","2",1970,1196,85,0
"485","CHOWAN","3",1532,59,36,0
"486","CHOWAN","4",486,360,47,0
"487","CHOWAN","5",786,177,24,0
"488","CHOWAN","6",1130,386,38,0
"489","CLAY","",12,NA,NA,0
"490","CLAY","BRAS",849,2,20,0
"491","CLAY","HAY1",1204,13,44,0
"492","CLAY","HAY2",1418,6,47,0
"493","CLAY","HAYC",476,8,18,0
"494","CLAY","HIAW",1361,12,38,0
"495","CLAY","SHCR",1270,2,35,0
"496","CLAY","SWEE",734,NA,13,0
"497","CLAY","TUSQ",675,1,9,0
"498","CLAY","WARN",752,5,16,0
"499","CLEVELAND","BETHWR",1460,164,66,0
"500","CLEVELAND","BR",3889,472,187,0
"501","CLEVELAND","CASAR",1210,1,30,0
"502","CLEVELAND","FALSTN",1442,54,41,0
"503","CLEVELAND","GROVER",2415,500,126,0
"504","CLEVELAND","KINGST",358,562,21,0
"505","CLEVELAND","KM N",3375,1093,175,0
"506","CLEVELAND","KM S",3010,918,215,0
"507","CLEVELAND","LATT",2384,223,91,0
"508","CLEVELAND","LAWNDL",1084,591,36,0
"509","CLEVELAND","MRB-YO",1297,121,45,0
"510","CLEVELAND","MULLS",1767,66,39,0
"511","CLEVELAND","OAKGRV",2808,196,150,0
"512","CLEVELAND","POLKVL",2009,112,52,0
"513","CLEVELAND","RIPPY",2709,788,119,0
"514","CLEVELAND","S 4A",2649,1770,205,0
"515","CLEVELAND","S 5",1457,858,66,0
"516","CLEVELAND","S C",4146,2367,358,0
"517","CLEVELAND","S S",3577,1969,251,0
"518","CLEVELAND","SHANGI",2090,450,73,0
"519","CLEVELAND","WACO",2278,663,127,0
"520","COLUMBUS","",29,21,1,0
"521","COLUMBUS","P01A",1103,572,88,0
"522","COLUMBUS","P02B",258,539,340,0
"523","COLUMBUS","P03",455,104,25,0
"524","COLUMBUS","P04",235,147,7,0
"525","COLUMBUS","P05",364,37,7,0
"526","COLUMBUS","P06",647,194,22,0
"527","COLUMBUS","P07",1665,1445,142,0
"528","COLUMBUS","P08",391,8,12,0
"529","COLUMBUS","P09",596,508,27,0
"530","COLUMBUS","P10",766,17,14,0
"531","COLUMBUS","P11",700,104,31,0
"532","COLUMBUS","P12",244,NA,2,0
"533","COLUMBUS","P13",547,41,27,0
"534","COLUMBUS","P14",1850,1241,152,0
"535","COLUMBUS","P15",1282,896,46,0
"536","COLUMBUS","P16B",1066,203,396,0
"537","COLUMBUS","P17",451,658,116,0
"538","COLUMBUS","P18",334,168,14,0
"539","COLUMBUS","P19",1420,890,89,0
"540","COLUMBUS","P20A",358,600,51,0
"541","COLUMBUS","P21",744,266,51,0
"542","COLUMBUS","P22A",1505,493,74,0
"543","COLUMBUS","P23",1241,772,90,0
"544","COLUMBUS","P24",1678,169,28,0
"545","COLUMBUS","P25B",1186,46,29,0
"546","COLUMBUS","P26B",2028,1399,63,0
"547","CRAVEN","",42,21,23,0
"548","CRAVEN","02",7008,2092,1346,0
"549","CRAVEN","03",3424,65,107,0
"550","CRAVEN","04",734,336,54,0
"551","CRAVEN","05",2364,172,90,0
"552","CRAVEN","06",772,579,79,0
"553","CRAVEN","07",1589,901,73,0
"554","CRAVEN","08",619,345,34,0
"555","CRAVEN","09",280,261,13,0
"556","CRAVEN","10",619,271,30,0
"557","CRAVEN","11",2655,242,125,0
"558","CRAVEN","12",490,13,17,0
"559","CRAVEN","13",645,87,27,0
"560","CRAVEN","14",2275,1126,155,0
"561","CRAVEN","15",577,242,54,0
"562","CRAVEN","16",3498,468,208,0
"563","CRAVEN","17",2017,169,147,0
"564","CRAVEN","19",1795,1232,155,0
"565","CRAVEN","20",2879,118,110,0
"566","CRAVEN","21",2290,220,87,0
"567","CRAVEN","23",3977,668,291,0
"568","CRAVEN","N1",1454,1007,116,0
"569","CRAVEN","N2",841,1707,126,0
"570","CRAVEN","N3",1484,523,113,0
"571","CRAVEN","N4",2576,1529,417,0
"572","CRAVEN","N5",910,1111,142,0
"573","CRAVEN","N6",3599,805,251,0
"574","CUMBERLAND","",43,22,10,0
"575","CUMBERLAND","AH49",1188,1807,559,0
"576","CUMBERLAND","AL51",3287,947,422,0
"577","CUMBERLAND","CC01",450,2046,345,0
