,county,precinct,white_reg,black_reg,other_reg,test
219,IREDELL,DV1-A,6802,286,544,0
220,IREDELL,DV1-B,8559,156,458,0
221,IREDELL,DV2-A,3936,54,209,0
222,IREDELL,DV2-B,4178,179,311,0
223,IREDELL,EM,1052,83,33,0
224,IREDELL,FT,6130,673,253,0
225,IREDELL,NH,1163,6,19,0
226,IREDELL,OL,1194,29,27,0
227,IREDELL,SB,1705,71,28,0
228,IREDELL,SH-A,2659,189,146,0
229,IREDELL,SH-B,2847,200,73,0
230,IREDELL,ST1,2877,670,392,0
231,IREDELL,ST2,2177,675,229,0
232,IREDELL,ST3,1688,1557,203,0
233,IREDELL,ST4,2264,603,158,1
234,IREDELL,ST5,2020,995,174,0
235,IREDELL,ST6,1723,1727,222,0
236,IREDELL,TB,1948,335,97,0
237,IREDELL,UG,1298,30,44,0
238,MADISON,BEECH,2410,7,65,0
239,MADISON,EBBS C,1054,4,28,0
240,MADISON,GRAPEV,1156,2,32,0
241,MADISON,HOT SP,862,0,18,0
242,MADISON,LAUREL,1032,1,24,0
243,MADISON,MARS H,3466,164,232,0
244,MADISON,NORTH,2311,6,95,0
245,MADISON,REVERE,293,0,15,0
246,MADISON,SANDY,484,2,18,0
247,MADISON,SOUTH,1012,2,40,0
248,MADISON,SPRING,744,2,34,0
249,MADISON,WALNUT,1268,2,48,0
250,MCDOWELL,CCREEK,2511,12,31,0
251,MCDOWELL,DYSART,2105,27,80,0
252,MCDOWELL,FORT 1,1253,85,15,0
253,MCDOWELL,FORT 2,1072,64,21,0
254,MCDOWELL,GLENWD,1675,8,31,0
255,MCDOWELL,HIGGIN,1233,13,20,0
256,MCDOWELL,M.COVE,1677,20,17,0
257,MCDOWELL,1-Mar,2626,75,59,0
258,MCDOWELL,2-Mar,1277,279,51,0
259,MCDOWELL,3-Mar,872,7,24,1
260,MCDOWELL,4-Mar,1003,24,43,1
261,MCDOWELL,5-Mar,890,12,19,0
262,MCDOWELL,N.COVE,778,3,11,0
263,MCDOWELL,NEBO,2716,86,45,0
264,MCDOWELL,PLEASA,2199,38,33,0
265,MCDOWELL,T.COVE,786,4,7,1
266,MCDOWELL,WEST M,3313,135,71,0
267,MITCHELL,1,1301,2,20,1
268,MITCHELL,2,315,1,0,0
269,MITCHELL,3,563,0,12,0
270,MITCHELL,4,5663,24,225,0
271,MITCHELL,5,783,2,16,0
272,MITCHELL,6,575,2,13,0
273,MITCHELL,7,224,0,3,0
274,MITCHELL,8,279,0,1,0
275,MITCHELL,9,1285,0,46,0
276,MONTGOMERY,BIS,903,386,152,0
277,MONTGOMERY,CAN,988,382,179,0
278,MONTGOMERY,CHE,561,110,28,0
279,MONTGOMERY,ELD,1316,11,41,0
280,MONTGOMERY,LIT,522,9,11,0
281,MONTGOMERY,MTG,720,1028,77,0
282,MONTGOMERY,OPH,328,0,4,0
283,MONTGOMERY,PEE,871,91,42,0
284,MONTGOMERY,ROC,290,402,62,0
285,MONTGOMERY,STA,1382,65,66,0
286,MONTGOMERY,T1,1377,567,100,0
287,MONTGOMERY,T2,1126,185,42,0
288,MONTGOMERY,UWH,1262,15,55,0
289,MONTGOMERY,WAD,230,202,78,0
290,PERSON,ALVI,1305,730,59,0
291,PERSON,CUCL,1384,399,45,0
292,PERSON,FLRI,4013,709,226,0
293,PERSON,HLWY,819,181,63,0
294,PERSON,MTTZ,2036,302,95,0
295,PERSON,OLHI,1333,231,48,0
296,PERSON,PNTH,2297,1676,209,0
297,PERSON,RCTL,2335,1689,146,0
298,PERSON,ROX4,925,666,77,0
299,PERSON,SWST,1423,373,72,0
300,PERSON,WDSD,634,416,44,0
301,RANDOLPH,AE,3025,1120,377,0
302,RANDOLPH,AN,2928,407,415,0
303,RANDOLPH,AR,7298,371,516,0
304,RANDOLPH,AS,3530,231,229,0
305,RANDOLPH,AW,4624,706,436,0
306,RANDOLPH,BC,2913,30,87,0
307,RANDOLPH,DR,4053,188,192,0
308,RANDOLPH,GR,3388,199,161,0
309,RANDOLPH,LB,2165,479,130,0
310,RANDOLPH,LC,2125,176,95,0
311,RANDOLPH,NM,4205,102,147,0
312,RANDOLPH,PR,5271,91,168,0
313,RANDOLPH,RM,2237,462,146,0
314,RANDOLPH,RN,4795,293,350,0
315,RANDOLPH,SE,1812,72,61,0
316,RANDOLPH,SO,3229,231,93,0
317,RANDOLPH,ST,1771,170,76,1
318,RANDOLPH,SW,2551,29,50,0
319,RANDOLPH,TB,2824,32,54,0
320,RANDOLPH,TR,7489,327,293,0
321,RANDOLPH,TT,3905,48,112,0
322,RANDOLPH,UG,6635,167,348,0
323,ROCKINGHAM,DR,1559,560,86,1
324,ROCKINGHAM,EC,2989,858,152,0
325,ROCKINGHAM,ED-1,3224,765,163,0
326,ROCKINGHAM,HO,1533,214,70,0
327,ROCKINGHAM,HU,3587,177,210,0
328,ROCKINGHAM,IR,2158,162,97,0
329,ROCKINGHAM,LI,3095,593,104,0
330,ROCKINGHAM,LK-2,2444,804,122,0
331,ROCKINGHAM,MA,3142,558,165,0
332,ROCKINGHAM,MC,3056,1194,198,0
333,ROCKINGHAM,MS,4354,3331,323,0
334,ROCKINGHAM,NB,3112,83,167,0
335,ROCKINGHAM,RC,4019,693,149,0
336,ROCKINGHAM,SE,2620,1207,202,0
337,ROCKINGHAM,WS,5233,944,266,0
338,ROWAN,1,1724,33,63,0
339,ROWAN,2,877,412,87,0
340,ROWAN,3,2224,42,63,0
341,ROWAN,4,3683,94,119,0
342,ROWAN,05A,3525,311,202,0
343,ROWAN,7,1400,436,73,0
344,ROWAN,8,2744,329,182,0
345,ROWAN,9,1916,44,83,0
346,ROWAN,10,2495,66,77,0
347,ROWAN,11,2405,384,135,1
348,ROWAN,12,1325,505,93,0
349,ROWAN,13,1935,53,50,0
350,ROWAN,14A,3734,362,108,1
351,ROWAN,15,2863,233,106,1
352,ROWAN,16,1463,367,159,0
353,ROWAN,17,1920,344,185,0
354,ROWAN,18,126,892,46,0
