guidename,runtime,obs,df,sig,assymmetry,i,time,loss
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,130,1575813886.8756237,1.993429593013277
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,140,1575813886.903824,1.5893213713140124
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,150,1575813886.922773,3.2735199014020053
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,160,1575813886.944716,2.5921999047458217
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,170,1575813886.963664,6.998637490655943
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,180,1575813886.9777467,2.6145092209695466
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,190,1575813886.9933686,3.792475836381212
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,200,1575813887.0194993,2.7818702780767985
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,210,1575813887.035121,1.633164869664067
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,220,1575813887.050743,1.2281707114754727
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,230,1575813887.0819848,0.8218397736490974
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,240,1575813887.097606,1.3764376586056806
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,250,1575813887.1209936,2.382112900960739
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,260,1575813887.1320727,2.7654485407007425
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,270,1575813887.147695,1.2012759848432455
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,280,1575813887.1789422,2.6672008452610885
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,290,1575813887.1945589,2.2084740307156734
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,300,1575813887.2040672,1.2493111818321967
